"","V1","V2"
"SS2_16_769:A7_unique.bam",-5.58274459838867,0.194741427898407
"SS2_16_769:A9_unique.bam",8.63897228240967,1.6908164024353
"SS2_16_769:A10_unique.bam",10.0538692474365,5.63312387466431
"SS2_16_769:A11_unique.bam",7.56632852554321,-0.0508523769676685
"SS2_16_769:A17_unique.bam",6.38747882843018,3.90190696716309
"SS2_16_769:A18_unique.bam",-6.12010955810547,0.846900582313538
"SS2_16_769:B14_unique.bam",9.89346313476562,3.54034423828125
"SS2_16_769:B13_unique.bam",8.69655132293701,2.47961854934692
"SS2_16_769:B16_unique.bam",10.8858404159546,7.34275770187378
"SS2_16_769:B19_unique.bam",5.51705598831177,1.36215686798096
"SS2_16_769:C4_unique.bam",-5.04249143600464,-1.15217506885529
"SS2_16_769:C9_unique.bam",8.43098258972168,2.06202411651611
"SS2_16_769:C14_unique.bam",10.5178709030151,4.64633941650391
"SS2_16_769:C12_unique.bam",8.56838035583496,2.17866826057434
"SS2_16_769:C16_unique.bam",1.6208655834198,0.822720050811768
"SS2_16_769:C19_unique.bam",10.6742076873779,7.86555433273315
"SS2_16_769:C20_unique.bam",6.0083065032959,1.49911344051361
"SS2_16_769:C22_unique.bam",4.93702602386475,1.36862134933472
"SS2_16_769:D6_unique.bam",10.408483505249,3.13696503639221
"SS2_16_769:D12_unique.bam",9.65329742431641,3.59148335456848
"SS2_16_769:D14_unique.bam",10.3612718582153,2.69873428344727
"SS2_16_769:D22_unique.bam",7.39407110214233,1.83979976177216
"SS2_16_769:E5_unique.bam",4.54877328872681,1.26341760158539
"SS2_16_769:E6_unique.bam",9.7523193359375,4.05866765975952
"SS2_16_769:E9_unique.bam",-5.35486173629761,0.701716065406799
"SS2_16_769:E10_unique.bam",9.30832958221436,3.62022542953491
"SS2_16_769:E14_unique.bam",9.5717887878418,5.27888536453247
"SS2_16_769:E16_unique.bam",10.0651807785034,4.68153095245361
"SS2_16_769:E20_unique.bam",8.08865737915039,2.26044988632202
"SS2_16_769:E21_unique.bam",10.6161508560181,8.10008430480957
"SS2_16_769:E22_unique.bam",7.37310647964478,1.2067905664444
"SS2_16_769:F2_unique.bam",9.32387161254883,3.93080759048462
"SS2_16_769:F9_unique.bam",11.2468824386597,6.00893688201904
"SS2_16_769:F12_unique.bam",7.90698766708374,0.504171550273895
"SS2_16_769:F16_unique.bam",8.64395809173584,2.30567288398743
"SS2_16_769:F19_unique.bam",8.98441696166992,2.71055603027344
"SS2_16_769:F21_unique.bam",8.47011089324951,2.19452786445618
"SS2_16_769:G3_unique.bam",10.5117712020874,7.78460025787354
"SS2_16_769:G6_unique.bam",10.3078098297119,4.4652214050293
"SS2_16_769:G5_unique.bam",9.77951240539551,4.99722862243652
"SS2_16_769:G12_unique.bam",9.7122163772583,0.407823622226715
"SS2_16_769:G13_unique.bam",11.4392671585083,7.96465396881104
"SS2_16_769:H3_unique.bam",10.9969482421875,8.03776359558105
"SS2_16_769:H4_unique.bam",10.7988529205322,6.4603214263916
"SS2_16_769:H9_unique.bam",5.64817714691162,1.42314970493317
"SS2_16_769:H14_unique.bam",6.18745517730713,0.410926580429077
